N_BLOCK_SIZE,M_BLOCK_SIZE,K_BLOCK_SIZE,Runtime
128,1,8,21.595710515975952
128,1,16,20.636126279830933
128,1,32,20.967716693878174
128,2,2,22.464301586151123
128,2,4,25.496874809265137
128,2,8,20.569111824035645
128,2,16,20.488813877105713
128,2,32,20.608649253845215
128,4,2,22.591331720352173
128,4,4,21.566528797149658
128,4,8,21.015183687210083
128,4,16,21.47359824180603
128,4,32,20.602603912353516
128,8,2,22.707382917404175
128,8,4,27.00966477394104
128,8,8,21.61958360671997
128,8,16,20.540032863616943
128,8,32,21.211395502090454
128,16,2,22.86169672012329
128,16,4,21.657002687454224
128,16,8,21.847599506378174
128,16,16,20.30746865272522
128,16,32,20.724914073944092
128,32,2,22.769656658172607
128,32,4,21.3973171710968
128,32,8,21.15349268913269
128,32,16,21.182617902755737
128,32,32,20.760733604431152
128,64,2,22.69929528236389
128,64,4,21.65275764465332
128,64,8,20.98141837120056
128,64,16,20.408363103866577
128,64,32,20.765570402145386
128,128,2,22.531144380569458
128,128,4,21.51107692718506
128,128,8,23.598912954330444
128,128,16,20.387295961380005
128,128,32,20.530505418777466
128,256,2,22.550382375717163
128,256,4,21.760985851287842
128,256,8,21.143431425094604
128,256,16,20.42242169380188
128,256,32,21.011271476745605
128,512,2,22.554367542266846
128,512,4,21.761054277420044
128,512,8,21.142570734024048
128,512,16,20.42433190345764
128,512,32,21.026342391967773
256,1,2,22.598784685134888
256,1,4,21.464439153671265
256,1,8,21.363266706466675
256,1,16,20.32445192337036
256,1,32,23.924792766571045
256,2,2,22.416109800338745
256,2,4,21.99663472175598
256,2,8,23.973883867263794
256,2,16,20.459954500198364
256,2,32,22.10287308692932
256,4,2,22.646780967712402
256,4,4,21.36935043334961
256,4,8,21.100910425186157
256,4,16,20.36465573310852
256,4,32,20.719738245010376
256,8,2,22.59015727043152
256,8,4,21.589167594909668
256,8,8,20.9701828956604
256,8,16,21.25435709953308
256,8,32,20.73082685470581
256,16,2,22.6626558303833
256,16,4,25.165541887283325
256,16,8,21.01209044456482
256,16,16,20.384350538253784
256,16,32,22.343754053115845
256,32,2,29.481094360351562
256,32,4,27.258285522460938
256,32,8,21.010945081710815
256,32,16,21.29645562171936
256,32,32,20.699427604675293
256,64,2,22.694883823394775
256,64,4,21.802815437316895
256,64,8,20.842692375183105
256,64,16,20.270983695983887
